Comment,Designator,Footprint,LCSC
10uF,C2,C_1206_3216Metric,C13585
BM04B-SRSS-TB,"J10,J11,J12,J2,J3,J4,J5,J6,J7,J8,J9",JST_SH_BM04B-SRSS-TB_1x04-1MP_P1.00mm_Vertical,C160390
10k,"R1,R11,R13,R15,R17,R19,R2,R21,R23,R25,R27,R3,R4,R5,R6,R9",R_0805_2012Metric,C17414
1k,"R10,R12,R14,R16,R18,R20,R22,R24,R26,R28",R_0805_2012Metric,C17513
4.7k,"R7,R8",R_0805_2012Metric,C17675
YTSA010,SW1,YTS-C015-X,C2910844
0.1uF,C1,C_0402_1005Metric,C307331
Screw terminal,J1,DB301V-3.5-2P-GN-S,C695629
2N7002,"Q1,Q10,Q2,Q3,Q4,Q5,Q6,Q7,Q8,Q9",SOT-23,C8545
MCP23017_SP,U1,DIP-28_W7.62mm,
TestPoint_Probe,TP3,TestPoint_THTPad_D3.0mm_Drill1.5mm,
TestPoint_Probe,TP1,TestPoint_THTPad_D3.0mm_Drill1.5mm,
TestPoint_Probe,TP5,TestPoint_THTPad_D3.0mm_Drill1.5mm,
TestPoint_Probe,TP2,TestPoint_THTPad_D3.0mm_Drill1.5mm,
ATMEGA32UA_PROMICRO,MCU1,ProMicro,
TestPoint_Probe,TP4,TestPoint_THTPad_D3.0mm_Drill1.5mm,
