Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,0.1uF,C_0402_1005Metric,101.0,-66.27,-90.0,top
C2,10uF,C_1206_3216Metric,99.0,-65.725,-90.0,top
J1,Screw terminal,DB301V-3.5-2P-GN-S,55.75,-96.0,0.0,top
J2,BM04B-SRSS-TB,JST_SH_BM04B-SRSS-TB_1x04-1MP_P1.00mm_Vertical,94.7,-97.65,180.0,top
J3,BM04B-SRSS-TB,JST_SH_BM04B-SRSS-TB_1x04-1MP_P1.00mm_Vertical,27.2,-36.3,90.0,top
J4,BM04B-SRSS-TB,JST_SH_BM04B-SRSS-TB_1x04-1MP_P1.00mm_Vertical,27.2,-48.45,90.0,top
J5,BM04B-SRSS-TB,JST_SH_BM04B-SRSS-TB_1x04-1MP_P1.00mm_Vertical,27.2,-60.6,90.0,top
J6,BM04B-SRSS-TB,JST_SH_BM04B-SRSS-TB_1x04-1MP_P1.00mm_Vertical,27.2,-72.75,90.0,top
J7,BM04B-SRSS-TB,JST_SH_BM04B-SRSS-TB_1x04-1MP_P1.00mm_Vertical,27.2,-84.9,90.0,top
J8,BM04B-SRSS-TB,JST_SH_BM04B-SRSS-TB_1x04-1MP_P1.00mm_Vertical,146.55,-36.3,-90.0,top
J9,BM04B-SRSS-TB,JST_SH_BM04B-SRSS-TB_1x04-1MP_P1.00mm_Vertical,146.55,-48.45,-90.0,top
J10,BM04B-SRSS-TB,JST_SH_BM04B-SRSS-TB_1x04-1MP_P1.00mm_Vertical,146.55,-60.6,-90.0,top
J11,BM04B-SRSS-TB,JST_SH_BM04B-SRSS-TB_1x04-1MP_P1.00mm_Vertical,146.55,-72.75,-90.0,top
J12,BM04B-SRSS-TB,JST_SH_BM04B-SRSS-TB_1x04-1MP_P1.00mm_Vertical,146.55,-84.9,-90.0,top
Q1,2N7002,SOT-23,36.1875,-36.75,0.0,top
Q2,2N7002,SOT-23,36.1875,-49.0,0.0,top
Q3,2N7002,SOT-23,36.25,-61.2,0.0,top
Q4,2N7002,SOT-23,36.3125,-73.3,0.0,top
Q5,2N7002,SOT-23,36.1875,-85.5,0.0,top
Q6,2N7002,SOT-23,137.8875,-36.0,180.0,top
Q7,2N7002,SOT-23,137.5625,-47.75,180.0,top
Q8,2N7002,SOT-23,137.5625,-60.0,180.0,top
Q9,2N7002,SOT-23,137.8125,-72.0,180.0,top
Q10,2N7002,SOT-23,137.5625,-84.25,180.0,top
R1,10k,R_0805_2012Metric,109.9125,-91.0,180.0,top
R2,10k,R_0805_2012Metric,109.8375,-85.5,180.0,top
R3,10k,R_0805_2012Metric,109.8375,-80.0,180.0,top
R4,10k,R_0805_2012Metric,109.8375,-96.25,0.0,top
R5,10k,R_0805_2012Metric,126.5,-95.75,180.0,top
R6,10k,R_0805_2012Metric,126.4125,-98.0,180.0,top
R7,4.7k,R_0805_2012Metric,90.6875,-83.25,0.0,top
R8,4.7k,R_0805_2012Metric,96.8125,-83.2,180.0,top
R9,10k,R_0805_2012Metric,39.5,-33.5875,90.0,top
R10,1k,R_0805_2012Metric,32.4125,-33.35,0.0,top
R11,10k,R_0805_2012Metric,39.75,-46.0875,90.0,top
R12,1k,R_0805_2012Metric,32.4125,-45.5,0.0,top
R13,10k,R_0805_2012Metric,39.75,-58.4125,90.0,top
R14,1k,R_0805_2012Metric,32.4125,-57.65,0.0,top
R15,10k,R_0805_2012Metric,39.75,-70.5,90.0,top
R16,1k,R_0805_2012Metric,32.4125,-69.8,0.0,top
R17,10k,R_0805_2012Metric,39.5,-82.6625,90.0,top
R18,1k,R_0805_2012Metric,32.4125,-81.95,0.0,top
R19,10k,R_0805_2012Metric,134.25,-38.5,-90.0,top
R20,1k,R_0805_2012Metric,141.3875,-39.25,180.0,top
R21,10k,R_0805_2012Metric,134.0,-50.5875,-90.0,top
R22,1k,R_0805_2012Metric,141.3875,-51.4,180.0,top
R23,10k,R_0805_2012Metric,134.25,-63.0875,-90.0,top
R24,1k,R_0805_2012Metric,141.3875,-63.55,180.0,top
R25,10k,R_0805_2012Metric,134.25,-75.0875,-90.0,top
R26,1k,R_0805_2012Metric,141.3875,-75.7,180.0,top
R27,10k,R_0805_2012Metric,134.25,-87.25,-90.0,top
R28,1k,R_0805_2012Metric,141.3875,-87.85,180.0,top
SW1,YTSA010,YTS-C015-X,60.5,-74.0,90.0,top
